Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.75556E-4,16.268743269,0.347084675,0.051667631,0.114666667,0.096
4.88933E-4,16.510337367,0.354867301,0.051185656,0.114666667,0.104
4.96766E-4,16.757148142,0.359381678,0.050703682,0.12,0.104
5.33227E-4,17.01460009,0.379982033,0.050221708,0.122666667,0.112
5.41606E-4,17.283551312,0.384621651,0.049739734,0.122666667,0.112
5.47938E-4,17.502318019,0.388104433,0.049354155,0.122666667,0.112
5.60075E-4,17.779626044,0.394726136,0.04887218,0.130666667,0.112
5.65467E-4,18.005525745,0.397644858,0.048486601,0.130666667,0.112
5.93853E-4,18.295672427,0.412779215,0.048004627,0.133333333,0.112
6.15134E-4,18.53944642,0.423875388,0.047619048,0.136,0.12
6.28458E-4,18.789398985,0.43071581,0.047233468,0.138666667,0.128
6.54668E-4,19.046027468,0.44393568,0.046847889,0.144,0.128
6.6481E-4,19.310917978,0.448968375,0.04646231,0.144,0.128
6.71557E-4,19.511758471,0.452290862,0.046173125,0.149333333,0.136
6.80793E-4,19.78276688,0.456807177,0.045787546,0.152,0.136
6.90257E-4,20.057741435,0.461395729,0.045401966,0.157333333,0.136
6.98255E-4,20.266570686,0.465243954,0.045112782,0.157333333,0.144
7.17481E-4,20.514183114,0.474381179,0.044727203,0.16,0.144
7.29231E-4,20.768592567,0.479888532,0.044438018,0.16,0.152
7.45917E-4,21.063722848,0.487610571,0.044052439,0.16,0.152
7.53714E-4,21.288838751,0.491179401,0.043763254,0.165333333,0.152
7.66239E-4,21.518301479,0.496860633,0.04347407,0.173333333,0.16
7.75081E-4,21.750563192,0.500832714,0.043184885,0.176,0.16
7.85882E-4,22.034636239,0.505642841,0.042799306,0.184,0.16
8.09001E-4,22.303939938,0.515782523,0.042510121,0.189333333,0.168
8.23977E-4,22.549575578,0.522239764,0.042220937,0.194666667,0.168
8.65144E-4,22.785925769,0.539549853,0.041931752,0.194666667,0.176
8.79186E-4,23.023208839,0.545309259,0.041642568,0.194666667,0.192
8.94637E-4,23.286785767,0.551563727,0.041353383,0.194666667,0.2
9.08147E-4,23.517535484,0.556962026,0.041160594,0.197333333,0.208
9.13923E-4,23.790815369,0.559249972,0.040871409,0.197333333,0.208
9.36257E-4,24.069330144,0.567986648,0.040582225,0.202666667,0.208
9.46845E-4,24.257913993,0.572067732,0.040389435,0.202666667,0.232
9.59405E-4,24.545083667,0.576859059,0.040100251,0.208,0.232
9.76892E-4,24.836318946,0.583440506,0.039811066,0.216,0.24
9.82155E-4,25.032352941,0.585401242,0.039618276,0.216,0.24
9.92228E-4,25.329088202,0.589128061,0.039329092,0.216,0.24
1.0122E-3,25.520563101,0.596418938,0.039136302,0.218666667,0.248
1.02106E-3,25.787095254,0.599612329,0.038847118,0.218666667,0.256
1.03005E-3,26.041910924,0.602824346,0.038654328,0.218666667,0.264
1.06912E-3,26.252105596,0.616494403,0.038461538,0.221333333,0.28
1.08091E-3,26.575241113,0.620527317,0.038172354,0.226666667,0.28
